TotalSteps,VeryActiveMinutes,Calories,Fit
0,0,2060,0
0,0,2060,0
0,0,2060,0
0,0,2060,0
0,0,2060,0
0,20,735,0
0,0,1820,0
2101,46,2224,0
0,0,1820,0
0,0,1820,0
9766,0,2442,1
165,0,1849,0
0,0,1822,0
0,0,1820,0
0,0,251,0
7225,25,3065,1
1988,0,2207,0
1577,1,1977,0
0,0,1841,0
9348,56,4286,1
11761,24,3920,1
13987,46,3856,1
4131,27,2584,0
14,0,787,0
15491,18,2244,1
14097,50,2188,1
10467,9,2014,0
12437,50,2115,1
12307,14,2055,0
18952,73,2437,1
12010,38,2158,1
12480,55,2170,1
13417,45,2244,1
14400,27,2188,1
12495,33,2231,1
10148,19,2100,1
12362,21,2188,1
5893,43,917,0
11680,50,2573,1
10976,9,2575,1
16806,104,3086,1
15266,70,2886,1
12084,50,2676,1
13513,64,2811,1
14100,61,2840,1
12627,54,2871,1
10345,2,2613,1
10146,1,2700,1
12168,18,2871,1
7413,53,1023,0
11463,38,2496,1
87,0,1641,0
1949,3,1794,0
6101,31,2421,1
7478,25,2439,1
7352,19,2233,1
14604,76,2862,1
9634,50,2752,1
7338,27,2519,1
569,0,1799,0
6242,46,2543,1
430,0,625,0
20188,124,3377,1
25701,165,3697,1
17395,100,3209,1
17167,98,3167,1
16435,100,3122,1
17078,101,3176,1
11693,60,2790,1
11159,59,2715,1
10118,30,2684,1
16064,96,3097,1
290,0,791,0
0,0,1429,0
0,0,1429,0
0,0,1429,0
0,0,1429,0
0,0,1429,0
1931,0,1607,0
5181,15,1776,0
12026,47,2162,1
5360,8,1832,0
2545,0,1657,0
1636,0,1377,0
14179,73,3669,1
3358,0,2702,0
9152,25,3304,1
13935,105,4234,1
12846,113,4128,1
9124,55,3798,1
9725,83,3839,1
8350,72,3713,1
2240,0,2606,0
2631,0,2624,0
8837,74,3775,1
3246,65,1882,0
2174,0,2360,0
3494,0,2517,0
2380,0,2400,0
3159,0,2462,0
6835,5,2786,1
2098,0,2354,0
2816,0,2437,0
1408,0,1814,0
4592,4,2260,0
8452,9,3004,1
7238,2,2667,1
3821,0,2229,0
2332,1,2100,0
2121,0,2114,0
1291,0,1961,0
1467,2,1953,0
1022,0,1890,0
4605,0,2253,0
178,0,1725,0
20,0,728,0
18700,67,3527,1
27572,116,4220,1
15260,106,3864,1
20779,78,3662,1
10695,10,2834,1
24136,87,4039,1
10910,32,2947,1
23014,70,4196,1
16470,90,3841,1
28497,128,4526,1
10622,18,2820,1
2350,0,938,0
